,Ticker,close,date,high,low,month,open,volume,daily_return,cumulative_return
0,SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,2023-10,596.6,15322196,,1.0
1,BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,2023-10,7780.8,944555,12.214362716643171,13.214362716643171
2,TITAN,3196.25,2023-10-03 05:30:00,3212.5,3114.4,2023-10,3148.8,1007308,-0.5988440684773333,5.301019985073388
3,ITC,439.75,2023-10-03 05:30:00,442.9,439.25,2023-10,441.0,7481883,-0.8624168947985921,0.7293307902811179
4,TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,2023-10,3534.2,1948148,6.9905628197839675,5.827763496143959
5,LT,3073.25,2023-10-03 05:30:00,3077.45,2995.1,2023-10,3040.5,3254492,-0.1253895300027036,5.097022970395555
6,TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,2023-10,859.32,1168848,-0.7197754819816156,1.4283108052077285
7,RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,2023-10,1164.97,8859056,0.3458894565722246,1.9223484534372661
8,HCLTECH,1238.7,2023-10-03 05:30:00,1256.7,1222.7,2023-10,1232.5,2162636,0.06869241122269387,2.0543992039140884
9,JSWSTEEL,770.25,2023-10-03 05:30:00,776.55,768.0,2023-10,776.55,1099773,-0.3781787357713733,1.2774691102081428
10,ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,2023-10,8289.0,454402,9.782083739045763,13.773778920308477
11,POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,2023-10,198.75,10830728,-0.9759720165203675,0.3309561323492829
12,INFY,1434.0,2023-10-03 05:30:00,1437.0,1420.3,2023-10,1436.05,4181867,6.186168879979954,2.378306658926944
13,TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2023-10,2074.3,543387,0.4359135285913529,3.415042706692099
14,BHARTIARTL,925.3,2023-10-03 05:30:00,928.25,916.05,2023-10,918.25,4338272,-0.5506289155456268,1.5346214445642268
15,TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,2023-10,632.6,6894577,-0.32946071544363986,1.0290239655029445
16,WIPRO,405.45,2023-10-03 05:30:00,408.1,403.6,2023-10,406.45,2864052,-0.34652268514787665,0.6724438178953481
17,TECHM,1216.2,2023-10-03 05:30:00,1230.7,1212.55,2023-10,1220.6,1622290,1.9996300406955236,2.0170826768388763
18,NTPC,241.2,2023-10-03 05:30:00,246.7,240.55,2023-10,244.35,14885044,-0.801677355698076,0.40003317024628926
19,HINDUNILVR,2468.9,2023-10-03 05:30:00,2499.0,2461.8,2023-10,2490.0,1585626,9.235903814262024,4.094701053155322
20,APOLLOHOSP,5118.95,2023-10-03 05:30:00,5154.95,5066.0,2023-10,5138.95,268482,1.0733727570983027,8.489841612073972
21,M&M,1537.4,2023-10-03 05:30:00,1598.0,1533.05,2023-10,1597.2,3436776,-0.6996649703552487,2.54979683224148
